"","empl1","empl2","region","time","change","y"
"1",1098.6,1100.3,1,1,0.154742399417445,1
"2",11123.7,11309.5,2,1,1.67030754155541,0
"3",5911,6026.2,3,1,1.94890881407546,0
"5",1091.6,1107.4,1,2,1.44741663613047,1
"6",11118.5,11324.3,2,2,1.85096910554481,0
"7",5937,6027.2,3,2,1.51928583459659,0
"9",1096.8,1103.6,1,3,0.619985412107946,1
"10",11127.1,11375.9,2,3,2.23598242129575,0
"11",5939.4,6035.7,3,3,1.62137589655521,0
"13",1096.5,1108.5,1,4,1.09439124487004,1
"14",11125.5,11364.4,2,4,2.14731922160803,0
"15",5960.3,6028.5,3,4,1.14423770615573,1
"17",1094.5,1106.6,1,5,1.10552763819095,1
"18",11158.9,11366.2,2,5,1.85770998933586,0
"19",5981.7,6018.6,3,5,0.616881488540041,1
"21",1092.7,1106.6,1,6,1.27207833806167,1
"22",11179.2,11404,2,6,2.01087734363818,0
"23",5997.2,6028.6,3,6,0.523577669579146,1
"25",1090.4,1112.4,1,7,2.01760821716803,0
"26",11209.1,11449.7,2,7,2.14647027861292,0
"27",5991,6043.6,3,7,0.877983642129868,1
"29",1089.7,1111.9,1,8,2.03725796090668,0
"30",11247.7,11364.1,2,8,1.03487824177387,1
"31",5998.2,6076.2,3,8,1.3003901170351,1
"33",1091.2,1115.5,1,9,2.22690615835777,0
"34",11265.5,11403.1,2,9,1.22142825440503,1
"35",5976.2,6100.6,3,9,2.08159030822263,0
"37",1097.2,1114.7,1,10,1.59496901203062,0
"38",11294.7,11422.8,2,10,1.13416026986107,1
"39",5979.4,6093.3,3,10,1.90487339866877,0
"41",1098.2,1117,1,11,1.71189218721544,0
"42",11339.4,11472.7,2,11,1.17554720708326,1
"43",6001.5,6151.4,3,11,2.4977089061068,0
"45",1108.7,1117.6,1,12,0.802741950031556,1
"46",11368.9,11488.6,2,12,1.05287230954621,1
"47",6038.5,6134.8,3,12,1.59476691231265,0
"49",1100.3,1126.9,1,13,2.41752249386532,0
"50",11309.5,11544.6,2,13,2.07878332375437,0
"51",6026.2,6144.3,3,13,1.95977564634429,0
"53",1107.4,1125.8,1,14,1.66154957558243,0
"54",11324.3,11589.4,2,14,2.34098354865202,0
"55",6027.2,6152.1,3,14,2.07227236527742,0
"57",1103.6,1130.2,1,15,2.41029358463213,0
"58",11375.9,11566.5,2,15,1.6754718308002,0
"59",6035.7,6164.2,3,15,2.12899912189141,0
"61",1108.5,1125.6,1,16,1.54262516914749,0
"62",11364.4,11648.4,2,16,2.49903206504521,0
"63",6028.5,6189.3,3,16,2.66733018163723,0
"65",1107.5,1131.1,1,17,2.13092550790067,0
"66",11366.2,11657.7,2,17,2.56462142140733,0
"67",6018.6,6196.8,3,17,2.96082145349418,0
"69",1106.6,1131,1,18,2.20495210554854,0
"70",11404,11662.8,2,18,2.26937916520518,0
"71",6028.6,6196.3,3,18,2.78174037089871,0
"73",1112.4,1124.5,1,19,1.08773822366055,1
"74",11449.7,11669.8,2,19,1.92232110885,0
"75",6043.6,6174.4,3,19,2.1642729498974,0
"77",1111.9,1127.8,1,20,1.42998471085528,1
"78",11364.1,11743.5,2,20,3.33858378578154,0
"79",6076.2,6172.6,3,20,1.5865178894704,0
"81",1115.5,1129.9,1,21,1.29090094128194,1
"82",11403.1,11787.5,2,21,3.37101314554815,0
"83",6100.6,6163.9,3,21,1.03760285873519,1
"85",1114.7,1131.5,1,22,1.50713196375706,0
"86",11422.8,11764.4,2,22,2.99051020765487,0
"87",6093.3,6182.7,3,22,1.46718526906602,1
"89",1117,1130.4,1,23,1.19964189794092,1
"90",11472.7,11743.9,2,23,2.36387249731971,0
"91",6151.4,6146,3,23,-0.0877848944955561,1
"93",1117.6,1129,1,24,1.02004294917682,1
"94",11488.6,11800.6,2,24,2.71573559876746,0
"95",6134.8,6144.7,3,24,0.161374453934938,1
"97",1126.9,1134,1,25,0.630047031679821,1
"98",11544.6,11832.6,2,25,2.49467283405228,0
"99",6144.3,6139.4,3,25,-0.079748710186686,1
"101",1125.8,1138.4,1,26,1.11920412151358,1
"102",11589.4,11844.4,2,26,2.20028646866966,0
"103",6152.1,6147.5,3,26,-0.0747712163326403,1
"105",1130.2,1086.4,1,27,-3.87542027959653,1
"106",11566.5,11188.6,2,27,-3.26719405178749,1
"107",6164.2,5858.8,3,27,-4.95441419811169,1
"109",1125.6,966.7,1,28,-14.1169154228856,1
"110",11648.4,9937.3,2,28,-14.6895710998936,1
"111",6189.3,5237.4,3,28,-15.379768309825,1
"113",1131.1,1001.3,1,29,-11.4755547696932,1
"114",11657.7,10121.5,2,29,-13.1775564648258,1
"115",6196.8,5321.2,3,29,-14.1298734830881,1
"117",1131,1056.5,1,30,-6.58709106984969,1
"118",11662.8,10737.6,2,30,-7.93291490894124,1
"119",6196.3,5591.5,3,30,-9.76066362183884,1
"121",1124.5,1067.8,1,31,-5.04224099599823,1
