,reference,current,region,time,change,y
1,18133.3,18435.9,4,1,1.668753068,0
2,18147,18459,4,2,1.719292445,0
3,18163.4,18515.4,4,3,1.937963157,0
4,18182.3,18501.4,4,4,1.755003492,0
5,18235.2,18492.4,4,5,1.410458893,1
6,18269.1,18539.4,4,6,1.479547433,1
7,18290.6,18605.7,4,7,1.72274283,0
8,18335.7,18552.2,4,8,1.180756666,1
9,18332.8,18619.2,4,9,1.562227265,0
10,18371.2,18630.9,4,10,1.413625675,1
11,18439.3,18741.1,4,11,1.636721568,0
12,18516.1,18741,4,12,1.214618629,1
13,18435.9,18815.6,4,13,2.059568559,0
14,18459,18867.3,4,14,2.21192914,0
15,18515.4,18860.8,4,15,1.865474146,0
16,18501.4,18963.3,4,16,2.496567827,0
17,18492.4,18985.6,4,17,2.667041595,0
18,18539.4,18990,4,18,2.430499369,0
19,18605.7,18968.7,4,19,1.951015012,0
20,18552.2,19043.9,4,20,2.650359526,0
21,18619.2,19081.4,4,21,2.482383776,0
22,18630.9,19078.8,4,22,2.404070657,0
23,18741.1,19020.3,4,23,1.489773813,1
24,18741,19074.3,4,24,1.778453658,0
25,18815.6,19106.1,4,25,1.543931631,0
26,18867.3,19130.3,4,26,1.39394614,1
27,18860.8,18133.8,4,27,-3.85455548,1
28,18963.3,16141.6,4,28,-14.87979413,1
29,18985.6,16444,4,29,-13.38698803,1
30,18990,17385.7,4,30,-8.448130595,1
31,18968.7,17802.6,4,31,-6.147495611,1
32,19043.9,18016.3,4,32,-5.39595356,1
33,19081.4,18388.5,4,33,-3.631284916,1
34,19078.8,18482.9,4,34,-3.123362056,1
35,19020.3,18537.5,4,35,-2.538340615,1
36,19074.3,18484.8,4,36,-3.090545918,1
37,19106.1,18272,4,37,-4.365621451,1
